Hits genome=GCF_000006765: prodigal=5681, pyrodigal=5681, equal=True
Hits genome=GCF_000007025: prodigal=1435, pyrodigal=1435, equal=True
Hits genome=GCF_000008865: prodigal=5386, pyrodigal=5385, equal=False
Hits genome=GCF_000009045: prodigal=4227, pyrodigal=4226, equal=False
Hits genome=GCF_000009085: prodigal=1658, pyrodigal=1658, equal=True
Hits genome=GCF_000012745: prodigal=2819, pyrodigal=2819, equal=True
Hits genome=GCF_000013425: prodigal=2631, pyrodigal=2631, equal=True
Hits genome=GCF_000017445: prodigal=1433, pyrodigal=1433, equal=True
Hits genome=GCF_000020025: prodigal=7754, pyrodigal=7753, equal=False
Hits genome=GCF_000022565: prodigal=3370, pyrodigal=3370, equal=False
Hits genome=GCF_000027325: prodigal=995, pyrodigal=995, equal=True
Hits genome=GCF_000067165: prodigal=9664, pyrodigal=9664, equal=False
Hits genome=GCF_000195955: prodigal=4085, pyrodigal=4085, equal=False
Hits genome=GCF_000196555: prodigal=1952, pyrodigal=1952, equal=True
Hits genome=GCF_000218265: prodigal=6923, pyrodigal=6923, equal=False
Hits genome=GCF_000222975: prodigal=4143, pyrodigal=4143, equal=False
Hits genome=GCF_000224555: prodigal=1539, pyrodigal=1539, equal=True
Hits genome=GCF_000336405: prodigal=2730, pyrodigal=2730, equal=True
Hits genome=GCF_000364385: prodigal=5514, pyrodigal=5514, equal=True
Hits genome=GCF_000438585: prodigal=3031, pyrodigal=3031, equal=True
Hits genome=GCF_000770155: prodigal=4491, pyrodigal=4491, equal=True
Hits genome=GCF_000817005: prodigal=2246, pyrodigal=2246, equal=True
Hits genome=GCF_000829055: prodigal=2906, pyrodigal=2906, equal=True
Hits genome=GCF_000829215: prodigal=3555, pyrodigal=3555, equal=True
Hits genome=GCF_000953495: prodigal=4372, pyrodigal=4372, equal=True
Hits genome=GCF_000967115: prodigal=2850, pyrodigal=2850, equal=True
Hits genome=GCF_000987925: prodigal=4338, pyrodigal=4338, equal=False
Hits genome=GCF_001267845: prodigal=1705, pyrodigal=1705, equal=True
Hits genome=GCF_001457455: prodigal=2343, pyrodigal=2344, equal=False
Hits genome=GCF_001610735: prodigal=3542, pyrodigal=3542, equal=True
Hits genome=GCF_002007885: prodigal=3594, pyrodigal=3594, equal=True
Hits genome=GCF_002073495: prodigal=3673, pyrodigal=3673, equal=True
Hits genome=GCF_002116925: prodigal=3718, pyrodigal=3718, equal=True
Hits genome=GCF_002119445: prodigal=6338, pyrodigal=6338, equal=True
Hits genome=GCF_002151505: prodigal=1342, pyrodigal=1342, equal=True
Hits genome=GCF_003058345: prodigal=3475, pyrodigal=3475, equal=True
Hits genome=GCF_004006515: prodigal=4569, pyrodigal=4569, equal=True
Hits genome=GCF_004008975: prodigal=3894, pyrodigal=3894, equal=True
Hits genome=GCF_004028015: prodigal=4981, pyrodigal=4981, equal=True
Hits genome=GCF_005885795: prodigal=988, pyrodigal=988, equal=True
Hits genome=GCF_006094375: prodigal=2259, pyrodigal=2259, equal=True
Hits genome=GCF_012044595: prodigal=7626, pyrodigal=7626, equal=True
Hits genome=GCF_013030075: prodigal=2167, pyrodigal=2167, equal=True
Hits genome=GCF_014841015: prodigal=4332, pyrodigal=4332, equal=True
Hits genome=GCF_014841035: prodigal=1929, pyrodigal=1929, equal=True
Hits genome=GCF_017299435: prodigal=4737, pyrodigal=4737, equal=True
Hits genome=GCF_020736045: prodigal=1793, pyrodigal=1793, equal=True
Hits genome=GCF_900477975: prodigal=2062, pyrodigal=2062, equal=True
Hits genome=GCF_900637005: prodigal=4126, pyrodigal=4126, equal=True

