genome	strand	prodigal_start	prodigal_stop	prodigal_edge	pyrodigal_start	pyrodigal_stop	pyrodigal_edge
GCF_000008865	-1	2727810	2728103	False			
GCF_000009045	-1	955653	955817	False			
GCF_000020025	1	1689342	1689500	False			
GCF_000022565	-1	3550577	3553432	False			
GCF_000067165	1	2867204	2867602	False	2867036	2867602	False
GCF_000195955	1	3960860	3961786	False	3961052	3961786	False
GCF_000195955	1	2052933	2053289	False	2052969	2053289	False
GCF_000218265	-1	1551162	1551524	False			
GCF_000222975	-1	1950139	1950465	False			
GCF_000987925	-1	331455	331595	False			
GCF_001457455	1				2243720	2243851	False
