genome	strand	prodigal_start	prodigal_stop	prodigal_edge	pyrodigal_start	pyrodigal_stop	pyrodigal_edge
GCF_000008865	1	1869190	1869954	False	1869202	1869954	False
GCF_000008865	1	148078	148845	False	148075	148845	False
GCF_000009045	-1				955653	955817	False
GCF_000012745	1	2651092	2651922	False	2651038	2651922	False
GCF_000012745	-1	1399444	1399677	False	1399444	1399668	False
GCF_000012745	-1	2162735	2163493	False	2162735	2163508	False
GCF_000012745	-1	2798390	2798956	False	2798390	2798998	False
GCF_000022565	1	3708222	3708905	False	3708303	3708905	False
GCF_000022565	-1	2812311	2813204	False	2812311	2813234	False
GCF_000067165	-1	11839104	11839715	False	11839104	11839751	False
GCF_000196555	1	2165731	2166492	False			
GCF_000222975	-1	1176154	1176438	False	1176154	1176486	False
GCF_000222975	-1				3271397	3271696	False
GCF_000222975	1				2976427	2976594	False
GCF_000438585	1	994516	994683	False	994465	994683	False
GCF_000829215	-1	930695	930976	False	930695	930991	False
GCF_001267845	1	493340	494587	False	493391	494587	False
GCF_001457455	-1	1636037	1636468	False	1636037	1636462	False
GCF_005885795	1	214277	214462	False			
GCF_005885795	1	214462	214923	False	214219	214923	False
GCF_012044595	1	1569069	1570097	False	1569060	1570097	False
GCF_012044595	-1				53878	54222	False
GCF_012044595	1	6964321	6965331	False	6964294	6965331	False
GCF_013030075	-1				1009432	1009599	False
GCF_013030075	-1	1259932	1260732	False	1259932	1260726	False
GCF_013030075	1	2050700	2051707	False	2050664	2051707	False
GCF_013030075	1				118324	118467	False
GCF_017299435	1	1277010	1277207	False	1276938	1277207	False
GCF_017299435	-1	3174736	3175173	False	3174736	3175275	False
GCF_900477975	1	477252	478295	False	477237	478295	False
GCF_900477975	1	1892344	1895196	False	1892461	1895196	False
GCF_900477975	1	730270	731709	False	730234	731709	False
GCF_900477975	1	885310	885726	False	885244	885726	False
GCF_900477975	1	2143996	2144319	False	2144038	2144319	False
GCF_900477975	-1	170064	170726	False	170064	170753	False
GCF_900477975	-1	1586613	1587758	False	1586613	1587872	False
